iter	MultiClass
0	1.08142128
1	1.065949142
2	1.049859215
3	1.035791614
4	1.021196448
5	1.007592619
6	0.991517982
7	0.9768516419
8	0.9643784575
9	0.9507514903
10	0.9371069485
11	0.9266678292
12	0.9148524479
13	0.9046061816
14	0.8930298941
15	0.8811309636
16	0.8694459089
17	0.860400499
18	0.8536931498
19	0.84663325
20	0.8391534458
21	0.8321276547
22	0.8243512765
23	0.8176028965
24	0.8081507456
25	0.7983416077
26	0.788330689
27	0.7815100142
28	0.7737240135
29	0.7679823111
30	0.760278186
31	0.7531411156
32	0.7486656709
33	0.7430302051
34	0.7378145762
35	0.7308703082
36	0.7254717288
37	0.7192744076
38	0.713969242
39	0.7095404894
40	0.7047806194
41	0.7007209941
42	0.6970533368
43	0.6925270075
44	0.6868945151
45	0.6826170002
46	0.6806968455
47	0.6772079377
48	0.6715658953
49	0.6671067826
50	0.661545405
51	0.6570613806
52	0.6505264359
53	0.6464671534
54	0.6423260561
55	0.6394136253
56	0.6351328377
57	0.6299328711
58	0.6259262133
59	0.6219241478
60	0.6174595193
61	0.6121603055
62	0.6069880218
63	0.602972427
64	0.5992057105
65	0.5954256017
66	0.5910614612
67	0.5872508328
68	0.5826004639
69	0.578280936
70	0.5743454705
71	0.5718006223
72	0.5670053812
73	0.5621951788
74	0.5566260677
75	0.5519739783
76	0.5487464333
77	0.5449040186
78	0.5420917917
79	0.5400476271
80	0.5367167966
81	0.5334565107
82	0.5285741012
83	0.5250887132
84	0.5203374705
85	0.5162118716
86	0.5120728377
87	0.5092908933
88	0.5069434054
89	0.5047829061
90	0.5021566501
91	0.4985040981
92	0.4959200524
93	0.4928357513
94	0.4900142531
95	0.487744956
96	0.4845381403
97	0.4824368576
98	0.477744083
99	0.4743955266
