iter	Passed	Remaining
0	3	369
1	6	321
2	9	304
3	12	299
4	15	298
5	18	293
6	21	285
7	24	280
8	27	277
9	30	274
10	33	271
11	36	267
12	39	264
13	42	261
14	46	261
15	49	259
16	52	256
17	55	252
18	58	248
19	61	244
20	63	240
21	66	236
22	69	232
23	73	231
24	77	232
25	80	229
26	83	225
27	86	221
28	89	218
29	92	214
30	95	211
31	97	208
32	100	204
33	104	202
34	107	199
35	110	196
36	113	193
37	116	189
38	119	186
39	122	183
40	125	180
41	127	176
42	130	173
43	134	170
44	137	167
45	140	165
46	143	161
47	146	158
48	149	155
49	152	152
50	155	149
51	158	146
52	161	143
53	164	140
54	168	137
55	171	134
56	173	131
57	176	128
58	179	124
59	182	121
60	185	118
61	188	115
62	191	112
63	194	109
64	197	106
65	201	103
66	204	100
67	207	97
68	210	94
69	213	91
70	215	88
71	218	85
72	221	82
73	225	79
74	228	76
75	230	72
76	233	69
77	236	66
78	239	63
79	242	60
80	245	57
81	248	54
82	251	51
83	254	48
84	257	45
85	260	42
86	263	39
87	266	36
88	269	33
89	271	30
90	274	27
91	277	24
92	280	21
93	283	18
94	287	15
95	290	12
96	294	9
97	297	6
98	300	3
99	303	0
