time,open,high,low,close,tick_volume,spread,real_volume
2026-03-24 12:00:00+00:00,1.15889,1.16066,1.1567,1.15774,27638,8,0
2026-03-24 16:00:00+00:00,1.15772,1.15923,1.15568,1.15851,20091,8,0
2026-03-24 20:00:00+00:00,1.15849,1.16279,1.15826,1.16132,12077,8,0
2026-03-25 00:00:00+00:00,1.16134,1.16303,1.16005,1.16036,10270,8,0
2026-03-25 04:00:00+00:00,1.16033,1.1605,1.15867,1.15974,8053,8,0
2026-03-25 08:00:00+00:00,1.15973,1.16162,1.15902,1.16051,15207,8,0
2026-03-25 12:00:00+00:00,1.16053,1.16131,1.15625,1.15695,21732,8,0
2026-03-25 16:00:00+00:00,1.15695,1.15834,1.15549,1.15629,13234,8,0
2026-03-25 20:00:00+00:00,1.1562999999999999,1.15632,1.15552,1.15612,2851,8,0
2026-03-26 00:00:00+00:00,1.15612,1.1569099999999999,1.15536,1.15684,5829,8,0
2026-03-26 04:00:00+00:00,1.15682,1.15719,1.15502,1.15531,7125,8,0
2026-03-26 08:00:00+00:00,1.1553200000000001,1.15647,1.1522999999999999,1.15239,10822,8,0
2026-03-26 12:00:00+00:00,1.15242,1.15546,1.15221,1.15409,18913,8,0
2026-03-26 16:00:00+00:00,1.15409,1.1543,1.15212,1.15215,9459,8,0
2026-03-26 20:00:00+00:00,1.15214,1.15586,1.15192,1.1534200000000001,9843,8,0
2026-03-27 00:00:00+00:00,1.1534200000000001,1.15423,1.1524,1.15389,6452,8,0
2026-03-27 04:00:00+00:00,1.15388,1.15459,1.15164,1.15186,6126,8,0
2026-03-27 08:00:00+00:00,1.15183,1.15258,1.15042,1.15074,9942,8,0
2026-03-27 12:00:00+00:00,1.15072,1.15473,1.15016,1.15191,16409,8,0
2026-03-27 16:00:00+00:00,1.15191,1.15288,1.15058,1.15167,11182,8,0
2026-03-27 20:00:00+00:00,1.15167,1.15206,1.15077,1.1508099999999999,2065,8,0
2026-03-29 20:00:00+00:00,1.15013,1.15022,1.14869,1.14913,4304,8,0
2026-03-30 00:00:00+00:00,1.1491500000000001,1.15182,1.14892,1.15152,8191,8,0
2026-03-30 04:00:00+00:00,1.15154,1.15207,1.14935,1.14977,6918,8,0
2026-03-30 08:00:00+00:00,1.14975,1.15,1.14834,1.14844,10538,8,0
2026-03-30 12:00:00+00:00,1.14846,1.14886,1.14429,1.14535,15160,8,0
2026-03-30 16:00:00+00:00,1.14533,1.1466,1.14468,1.14594,8277,8,0
2026-03-30 20:00:00+00:00,1.14592,1.14654,1.1452,1.14563,3401,8,0
2026-03-31 00:00:00+00:00,1.14566,1.14904,1.14468,1.14692,9333,8,0
2026-03-31 04:00:00+00:00,1.14693,1.14739,1.14602,1.14719,7443,8,0
2026-03-31 08:00:00+00:00,1.1472,1.14907,1.1457,1.14907,11126,8,0
2026-03-31 12:00:00+00:00,1.14909,1.15402,1.14868,1.1516899999999999,22054,8,0
2026-03-31 16:00:00+00:00,1.1517,1.15597,1.15137,1.15584,22705,8,0
2026-03-31 20:00:00+00:00,1.15587,1.15743,1.15501,1.15736,4089,8,0
2026-04-01 00:00:00+00:00,1.15735,1.15784,1.15546,1.15605,7570,8,0
2026-04-01 04:00:00+00:00,1.15604,1.15984,1.15591,1.15816,13195,8,0
2026-04-01 08:00:00+00:00,1.15815,1.16104,1.15771,1.1607,14560,8,0
2026-04-01 12:00:00+00:00,1.16072,1.16269,1.15936,1.16133,23470,8,0
2026-04-01 16:00:00+00:00,1.16131,1.16233,1.15758,1.15836,11199,8,0
2026-04-01 20:00:00+00:00,1.15834,1.15942,1.15825,1.15894,3103,8,0
2026-04-02 00:00:00+00:00,1.15892,1.16052,1.15374,1.15395,18577,8,0
2026-04-02 04:00:00+00:00,1.15396,1.15416,1.15149,1.15321,10958,8,0
2026-04-02 08:00:00+00:00,1.15324,1.15354,1.15086,1.1516899999999999,9318,8,0
2026-04-02 12:00:00+00:00,1.1517,1.15634,1.15164,1.15448,23270,8,0
